Company,TypeName,Ram,OpSys,Weight,PPI,TouchScreen,IPS,CPU_brand,HDD,SSD,GPU_brand
Asus,Ultrabook,16,Windows,1.8,141.21199808219862,0,0,Intel Core i7,0,512,Nvidia
HP,Notebook,4,Windows,1.86,100.45466986113651,0,0,Intel Core i3,500,0,AMD
HP,Notebook,4,Windows,1.44,111.93520355955211,0,0,Other Intel Processor,0,32,Intel
Lenovo,Notebook,4,Windows,1.9,141.21199808219862,0,0,Intel Core i5,1000,0,Intel
Asus,Gaming,12,Other,3.0,127.33567457123111,0,0,Intel Core i7,1000,0,Nvidia
Microsoft,Ultrabook,4,Windows,1.252,200.84255993695703,1,0,Intel Core i5,0,128,Intel
Dell,Ultrabook,8,Windows,1.4,165.6321180513006,0,1,Intel Core i7,0,256,AMD
Dell,Notebook,8,Windows,2.2,141.21199808219862,0,0,Intel Core i7,0,256,AMD
MSI,Gaming,8,Windows,2.7,127.33567457123111,0,0,Intel Core i5,1000,128,Nvidia
Acer,Notebook,8,Windows,2.1,111.93520355955211,0,0,Intel Core i3,1000,0,Intel
Asus,Gaming,8,Windows,2.2,141.21199808219862,0,0,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i5,2000,0,Intel
Dell,Notebook,8,Windows,2.02,141.21199808219862,0,0,Intel Core i7,1000,128,Intel
Acer,Notebook,4,Windows,2.2,141.21199808219862,0,0,Intel Core i3,1000,0,Nvidia
HP,Notebook,8,Windows,2.5,127.33567457123111,0,0,Intel Core i5,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.88,141.21199808219862,0,1,Intel Core i5,0,256,Intel
Apple,Ultrabook,8,Other,0.92,226.41554716935852,0,1,Intel Core i5,0,512,Intel
HP,Notebook,8,Windows,1.63,157.3505121487356,0,0,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Windows,2.2,141.21199808219862,0,0,AMD Processor,0,128,AMD
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,AMD Processor,1000,0,AMD
Dell,Gaming,16,Windows,2.65,141.21199808219862,0,1,Intel Core i7,1000,128,Nvidia
HP,Ultrabook,8,Windows,1.83,141.21199808219862,0,1,Intel Core i7,0,256,Nvidia
HP,Notebook,8,Windows,1.96,141.21199808219862,0,0,Intel Core i5,0,256,Intel
Asus,Gaming,16,Windows,2.2,141.21199808219862,0,1,Intel Core i7,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.21,165.6321180513006,0,1,Intel Core i7,0,256,Intel
Asus,Gaming,8,Windows,2.45,141.21199808219862,0,0,AMD Processor,1000,0,AMD
Acer,Notebook,8,Windows,2.2,141.21199808219862,0,0,Intel Core i7,1000,0,Nvidia
HP,Notebook,16,Windows,1.49,165.6321180513006,0,0,Intel Core i7,0,512,Intel
Dell,Gaming,8,Windows,2.65,141.21199808219862,0,0,Intel Core i5,0,256,Nvidia
Asus,Ultrabook,8,Windows,1.25,157.3505121487356,0,0,Intel Core i7,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,165.6321180513006,1,1,Intel Core i5,0,256,Intel
Dell,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i7,1000,0,AMD
Dell,Notebook,4,Other,2.2,141.21199808219862,0,0,Intel Core i3,0,256,AMD
Asus,Notebook,6,Windows,2.0,141.21199808219862,0,0,Intel Core i3,0,256,Nvidia
HP,Gaming,12,Windows,2.62,141.21199808219862,0,1,Intel Core i7,1000,128,Nvidia
HP,Notebook,8,Windows,1.91,141.21199808219862,0,0,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows,2.1,141.21199808219862,0,0,AMD Processor,500,0,AMD
Dell,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i5,1000,0,AMD
HP,Ultrabook,8,Windows,1.38,165.6321180513006,0,1,Intel Core i7,0,256,Nvidia
Microsoft,Ultrabook,8,Windows,1.252,200.84255993695703,1,0,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.58,157.3505121487356,0,1,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,4,Windows,1.85,141.21199808219862,0,0,Intel Core i3,1000,0,Intel
Asus,Ultrabook,8,Windows,1.3,157.3505121487356,0,1,Intel Core i7,0,256,Nvidia
MSI,Gaming,16,Windows,2.2,141.21199808219862,0,0,Intel Core i7,1000,256,Nvidia
Lenovo,Notebook,8,Windows,1.58,157.3505121487356,0,1,Intel Core i7,0,256,Intel
Asus,Ultrabook,16,Windows,1.5,141.21199808219862,0,0,Intel Core i7,1000,256,Nvidia
Dell,Ultrabook,8,Windows,1.23,276.053530085501,1,0,Intel Core i7,0,256,Intel
Lenovo,2 in 1 Convertible,8,Windows,1.37,165.6321180513006,1,1,Intel Core i5,0,256,Intel
HP,Notebook,4,Windows,1.63,111.93520355955211,0,1,Intel Core i5,500,0,Intel
Dell,Ultrabook,8,Windows,1.21,165.6321180513006,0,1,Intel Core i5,0,256,Intel
HP,2 in 1 Convertible,8,Windows,1.26,165.6321180513006,1,1,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.63,157.3505121487356,0,0,Intel Core i7,0,512,Intel
Dell,Notebook,8,Windows,2.16,141.21199808219862,0,1,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,2.0,127.33567457123111,0,0,Intel Core i3,1000,0,Nvidia
Asus,Notebook,8,Windows,1.7,141.21199808219862,0,0,Intel Core i7,0,256,Nvidia
Acer,Notebook,6,Windows,2.1,141.21199808219862,1,1,Intel Core i3,1000,0,Intel
MSI,Gaming,16,Windows,1.8,141.21199808219862,0,0,Intel Core i7,2000,256,Nvidia
Lenovo,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i5,0,256,Nvidia
HP,Notebook,16,Windows,2.5,127.33567457123111,0,0,Intel Core i7,0,512,Nvidia
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,AMD Processor,0,256,AMD
HP,Notebook,4,Other,1.86,100.45466986113651,0,0,Other Intel Processor,500,0,Intel
HP,Notebook,8,Windows,1.63,157.3505121487356,0,0,Intel Core i5,1000,0,Intel
Asus,Notebook,4,Windows,1.65,111.93520355955211,0,0,AMD Processor,0,64,AMD
Dell,Notebook,16,Windows,2.8,127.33567457123111,0,0,Intel Core i7,2000,256,AMD
HP,Notebook,8,Windows,2.5,127.33567457123111,0,0,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.36,100.45466986113651,0,0,Intel Core i5,1000,0,AMD
Dell,Notebook,4,Windows,2.2,141.21199808219862,0,0,Intel Core i3,1000,0,AMD
Acer,Ultrabook,8,Windows,1.6,157.3505121487356,0,1,Intel Core i7,0,256,Intel
Acer,Notebook,4,Windows,2.2,141.21199808219862,0,0,Intel Core i3,0,256,Nvidia
HP,Notebook,8,Windows,2.05,100.45466986113651,0,0,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,1.63,157.3505121487356,0,0,Intel Core i7,0,256,Intel
Lenovo,Notebook,4,Other,1.9,100.45466986113651,0,0,Other Intel Processor,1000,0,Intel
Asus,Gaming,8,Windows,3.0,127.33567457123111,0,0,Intel Core i5,1000,128,Nvidia
Lenovo,Notebook,4,Other,2.2,141.21199808219862,0,0,Intel Core i5,1000,0,Nvidia
HP,Notebook,4,Windows,1.32,165.6321180513006,0,1,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows,3.0,127.33567457123111,0,1,Intel Core i3,1000,0,Nvidia
Lenovo,Notebook,8,Windows,1.75,157.3505121487356,0,1,Intel Core i5,0,256,AMD
Lenovo,Gaming,8,Other,2.4,141.21199808219862,0,1,Intel Core i7,0,256,Nvidia
Toshiba,Notebook,4,Windows,2.1,100.45466986113651,0,0,Intel Core i5,500,0,Intel
HP,Notebook,4,Windows,1.86,100.45466986113651,0,0,AMD Processor,0,256,AMD
Asus,Ultrabook,8,Windows,1.25,157.3505121487356,0,0,Intel Core i7,0,256,Intel
HP,Ultrabook,8,Windows,0.97,352.4651472131677,1,1,Other Intel Processor,0,512,Intel
Asus,Notebook,4,Windows,2.0,141.21199808219862,0,0,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.9,127.33567457123111,0,0,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.56,141.21199808219862,0,0,Intel Core i7,0,512,Nvidia
Dell,Gaming,8,Windows,2.62,141.21199808219862,0,0,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,4,Windows,1.9,100.45466986113651,0,0,Intel Core i5,0,128,Intel
MSI,Gaming,16,Windows,2.8,127.33567457123111,0,0,Intel Core i7,1000,256,Nvidia
HP,Ultrabook,4,Windows,1.48,157.3505121487356,0,0,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.91,141.21199808219862,0,0,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,4,Windows,1.74,157.3505121487356,1,1,Intel Core i3,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,165.6321180513006,1,0,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,8,Windows,1.56,141.21199808219862,1,0,Intel Core i7,0,256,Intel
Toshiba,Notebook,4,Windows,2.1,100.45466986113651,0,0,Intel Core i3,500,0,Intel
Asus,Notebook,4,Windows,2.03,100.45466986113651,0,0,AMD Processor,1000,0,AMD
Acer,Notebook,4,Windows,3.0,127.33567457123111,0,1,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.13,141.21199808219862,0,0,Intel Core i5,0,256,AMD
Lenovo,Gaming,16,Windows,2.5,141.21199808219862,0,1,Intel Core i7,0,256,Nvidia
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.4,141.21199808219862,0,1,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,Other Intel Processor,1000,0,Intel
Dell,Gaming,8,Windows,2.56,141.21199808219862,0,0,Intel Core i7,1000,128,Nvidia
Acer,Notebook,8,Windows,3.0,127.33567457123111,0,1,Intel Core i5,0,256,Nvidia
HP,Notebook,4,Windows,1.49,165.6321180513006,0,1,Intel Core i5,500,0,Intel
Huawei,Ultrabook,8,Windows,1.05,199.69207064108247,0,1,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,2.71,127.33567457123111,0,1,Intel Core i5,2000,0,AMD
Lenovo,Notebook,4,Other,2.2,100.45466986113651,0,0,AMD Processor,500,0,AMD
Toshiba,Notebook,4,Windows,2.0,100.45466986113651,0,0,Intel Core i3,500,0,Intel
HP,Notebook,8,Windows,2.5,127.33567457123111,0,0,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.3,100.45466986113651,0,0,Intel Core i3,1000,0,Intel
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,Intel Core i3,0,128,Intel
MSI,Gaming,32,Windows,4.4,119.7232157653423,0,0,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,8,Windows,1.9,141.21199808219862,0,0,Intel Core i5,1000,128,AMD
HP,2 in 1 Convertible,8,Windows,1.29,331.2642361026012,1,1,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other,2.02,141.21199808219862,0,0,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows,1.23,165.6321180513006,0,0,Intel Core i5,0,256,Intel
Lenovo,2 in 1 Convertible,16,Windows,1.4,316.96506044349616,1,1,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.0,100.45466986113651,0,0,Intel Core i5,0,128,Intel
Xiaomi,Notebook,8,Other,1.95,141.21199808219862,0,1,Intel Core i5,0,256,Nvidia
Dell,Notebook,16,Windows,2.77,127.33567457123111,1,0,Intel Core i7,0,512,Nvidia
Dell,Notebook,16,Windows,2.06,282.42399616439724,1,0,Intel Core i7,0,512,Nvidia
Lenovo,Gaming,8,Other,2.4,141.21199808219862,0,1,Intel Core i5,0,256,Nvidia
Acer,Ultrabook,8,Windows,1.12,165.6321180513006,0,1,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.8,127.33567457123111,0,0,Intel Core i7,1000,128,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.42,209.8006828649808,1,0,Intel Core i7,0,1000,Intel
Vero,Notebook,4,Windows,1.3,157.3505121487356,0,1,Other Intel Processor,0,32,Intel
Xiaomi,Ultrabook,8,Other,1.3,165.6321180513006,0,1,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Other,2.8,106.11306214269258,0,0,Intel Core i5,0,256,Nvidia
Dell,2 in 1 Convertible,8,Windows,1.62,165.6321180513006,1,1,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,2.5,127.33567457123111,0,1,Intel Core i5,1000,0,Nvidia
Razer,Gaming,32,Windows,3.49,254.67134914246222,1,0,Intel Core i7,0,1000,Nvidia
HP,Notebook,8,Windows,1.49,165.6321180513006,0,0,Intel Core i5,0,512,Intel
HP,Gaming,16,Windows,3.35,127.33567457123111,0,1,Intel Core i7,1000,256,Nvidia
HP,Notebook,8,Windows,2.5,127.33567457123111,0,0,Intel Core i7,0,256,Nvidia
Dell,Gaming,16,Windows,2.65,282.42399616439724,0,1,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,4,Windows,2.1,100.45466986113651,0,0,Intel Core i5,0,128,Intel
Acer,Notebook,8,Windows,2.23,141.21199808219862,0,0,Intel Core i7,1000,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,141.21199808219862,0,1,Intel Core i7,1000,512,Nvidia
Dell,Workstation,16,Windows,2.8,282.42399616439724,0,0,Other Intel Processor,1000,256,Nvidia
Lenovo,Gaming,16,Other,2.4,141.21199808219862,0,0,Intel Core i7,0,512,Nvidia
Dell,Notebook,6,Windows,2.3,100.45466986113651,1,0,Intel Core i3,1000,0,Intel
Dell,Ultrabook,8,Windows,1.21,331.2642361026012,1,1,Intel Core i7,0,256,Intel
Dell,Ultrabook,8,Windows,1.2,165.6321180513006,0,0,Intel Core i7,0,256,Intel
Lenovo,Notebook,8,Windows,2.2,100.45466986113651,0,0,Intel Core i5,0,256,Intel
Acer,Notebook,8,Other,2.4,141.21199808219862,0,0,Intel Core i7,1000,0,Nvidia
Asus,Gaming,16,Windows,2.9,127.33567457123111,0,0,Intel Core i7,1000,256,Nvidia
HP,Notebook,4,Other,2.1,141.21199808219862,0,0,Intel Core i3,500,0,Intel
Lenovo,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i5,0,256,Intel
Huawei,Ultrabook,8,Windows,1.05,199.69207064108247,0,1,Intel Core i7,0,512,Intel
Dell,Ultrabook,8,Windows,1.4,165.6321180513006,0,1,Intel Core i7,0,256,AMD
Lenovo,Notebook,8,Other,2.8,106.11306214269258,0,0,Intel Core i5,1000,0,Nvidia
HP,Notebook,8,Windows,1.63,157.3505121487356,0,0,Intel Core i7,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.6,157.3505121487356,0,0,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,16,Windows,1.62,165.6321180513006,1,0,Intel Core i7,0,512,Intel
Dell,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.74,157.3505121487356,0,1,Intel Core i5,0,256,Intel
Toshiba,Ultrabook,8,Windows,1.2,165.6321180513006,0,0,Intel Core i7,0,256,Intel
HP,Notebook,8,Windows,2.1,141.21199808219862,0,0,Intel Core i5,1000,0,Intel
Dell,Gaming,16,Windows,4.42,127.33567457123111,0,1,Intel Core i7,1000,256,Nvidia
Acer,Notebook,8,Windows,2.2,141.21199808219862,0,0,Intel Core i7,0,256,Nvidia
Dell,Notebook,16,Windows,2.3,141.21199808219862,1,0,Intel Core i7,1000,0,AMD
Asus,Notebook,8,Windows,2.0,141.21199808219862,0,0,Intel Core i5,0,256,Nvidia
Asus,Notebook,8,Windows,2.69,127.33567457123111,0,0,Intel Core i5,500,256,Nvidia
HP,Notebook,8,Windows,1.9,141.21199808219862,0,0,Intel Core i7,1000,0,AMD
Asus,Notebook,4,Windows,2.37,100.45466986113651,0,0,Intel Core i3,1000,0,Intel
HP,Notebook,4,Windows,2.1,100.45466986113651,0,0,AMD Processor,500,0,AMD
Lenovo,Gaming,16,Windows,3.2,141.21199808219862,0,1,Intel Core i7,1000,256,Nvidia
Dell,Notebook,8,Windows,1.6,157.3505121487356,0,0,Intel Core i5,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.6,165.6321180513006,1,1,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other,2.36,141.21199808219862,0,0,Intel Core i7,0,256,AMD
Acer,Notebook,4,Other,2.1,100.45466986113651,0,0,Intel Core i3,1000,0,Intel
Asus,Notebook,4,Windows,2.2,141.21199808219862,0,0,AMD Processor,1000,128,AMD
Asus,Gaming,32,Windows,4.7,127.33567457123111,0,0,Intel Core i7,1000,512,Nvidia
Acer,Gaming,8,Windows,2.5,141.21199808219862,0,1,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Windows,2.2,100.45466986113651,0,0,Intel Core i3,0,128,Intel
Asus,Notebook,8,Windows,2.1,127.33567457123111,0,0,Intel Core i7,1000,128,Nvidia
Asus,Notebook,8,Other,2.69,127.33567457123111,0,0,Intel Core i7,1000,128,Nvidia
Dell,Gaming,8,Windows,2.56,141.21199808219862,0,0,Intel Core i5,0,256,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,1.38,158.48253022174808,1,1,Intel Core i7,0,256,Intel
Dell,Notebook,8,Windows,2.2,141.21199808219862,0,0,Intel Core i7,2000,128,AMD
HP,Notebook,8,Windows,2.04,100.45466986113651,1,0,Intel Core i5,1000,0,Intel
Asus,Gaming,16,Windows,3.6,127.33567457123111,0,0,Intel Core i7,0,256,Nvidia
HP,Notebook,4,Windows,1.49,165.6321180513006,0,1,Intel Core i5,500,0,Intel
Apple,Ultrabook,8,Other,1.37,226.98300468106115,0,1,Intel Core i5,0,512,Intel
Dell,2 in 1 Convertible,8,Windows,2.08,141.21199808219862,1,1,Intel Core i7,1000,0,Intel
Asus,Gaming,16,Windows,4.3,127.33567457123111,0,0,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,1.68,100.45466986113651,0,0,AMD Processor,1000,0,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.37,158.48253022174808,1,1,Intel Core i7,0,512,Intel
Acer,Notebook,4,Windows,3.0,127.33567457123111,0,1,Intel Core i3,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.41,165.6321180513006,0,0,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.91,100.45466986113651,0,0,AMD Processor,0,128,AMD
HP,Notebook,16,Windows,2.9,127.33567457123111,0,1,Intel Core i7,1000,0,Nvidia
MSI,Gaming,16,Windows,4.14,127.33567457123111,0,0,Intel Core i7,1000,512,Nvidia
Lenovo,2 in 1 Convertible,8,Windows,2.0,141.21199808219862,1,1,Intel Core i7,0,512,Nvidia
Dell,Notebook,8,Windows,2.8,127.33567457123111,0,0,Intel Core i7,1000,128,AMD
Lenovo,Notebook,4,Other,2.2,141.21199808219862,0,0,Intel Core i3,0,256,Intel
HP,Notebook,4,Windows,2.1,141.21199808219862,0,1,Intel Core i5,500,0,Intel
Dell,Notebook,4,Windows,2.18,141.21199808219862,0,0,Intel Core i5,1000,0,Intel
Dell,Notebook,8,Windows,2.24,141.21199808219862,0,0,Intel Core i5,1000,0,AMD
Dell,2 in 1 Convertible,8,Windows,2.67,141.21199808219862,1,0,Intel Core i5,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,165.6321180513006,1,0,Intel Core i7,0,1024,Intel
Lenovo,Notebook,4,Other,2.2,141.21199808219862,0,0,Intel Core i5,1000,0,Intel
HP,Notebook,8,Windows,2.5,127.33567457123111,0,0,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Windows,2.05,141.21199808219862,0,0,Intel Core i7,0,256,Intel
Apple,Ultrabook,8,Other,1.37,226.98300468106115,0,1,Intel Core i5,0,512,Intel
Asus,Gaming,16,Windows,3.2,127.33567457123111,0,0,AMD Processor,1000,256,AMD
Dell,Notebook,8,Other,2.14,141.21199808219862,0,0,Intel Core i7,0,256,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.36,209.8006828649808,1,0,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.2,100.45466986113651,0,0,Intel Core i7,500,0,Nvidia
Dell,Notebook,12,Windows,2.3,100.45466986113651,0,0,Intel Core i7,1000,0,Intel
Dell,Notebook,8,Other,2.8,127.33567457123111,0,0,Intel Core i7,1000,128,AMD
Acer,Notebook,8,Windows,2.2,141.21199808219862,0,1,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,4,Windows,2.8,106.11306214269258,0,0,Intel Core i3,1000,0,Intel
Lenovo,Notebook,8,Other,2.8,127.33567457123111,0,0,Intel Core i7,2000,0,Nvidia
Lenovo,Notebook,6,Windows,2.8,106.11306214269258,0,0,Intel Core i7,1000,128,Nvidia
Dell,Notebook,4,Other,2.25,141.21199808219862,0,0,Intel Core i3,1000,0,AMD
Lenovo,Gaming,8,Windows,2.5,141.21199808219862,0,1,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,6,Windows,2.2,141.21199808219862,0,0,Intel Core i5,0,256,Intel
